"Izbrani podatki po obèinah, Slovenija, letno"

"MERITVE";"OBÈINE";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Podvelka";753.05;791.29;803.69;804.19;810.68;833.72;817.05;825.61;870.01;924.61;949.93;1025.09;1085.12;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Poljèane";714.44;719.11;752.97;789.08;783.85;776.24;780.84;806.24;826.41;820.92;853.20;885.29;974.96;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Polzela";670.95;697.89;726.34;751.34;771.89;797.97;796.09;811.39;828.60;855.28;912.03;965.20;1030.73;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Postojna";874.26;896.10;920.36;945.66;932.68;936.81;953.35;971.26;968.10;990.68;1016.78;1054.26;1115.02;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Prebold";739.55;742.64;811.39;837.41;831.80;854.23;850.14;869.14;874.40;919.03;963.13;977.55;990.85;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Preddvor";777.73;813.02;857.41;866.51;871.83;866.98;883.99;890.14;925.36;959.68;963.32;999.50;1085.82;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Prevalje";761.41;788.34;822.44;842.15;855.61;885.01;884.75;890.49;922.51;965.52;1012.24;1043.11;1089.11;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Ptuj";805.63;835.94;863.43;864.11;850.69;857.63;859.90;875.29;906.64;931.53;963.72;992.89;1045.73;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Puconci";911.42;951.76;943.87;951.40;973.56;950.14;937.24;935.29;943.85;1000.19;1060.83;1103.32;1168.72;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Raèe - Fram";798.26;812.52;861.77;857.54;838.97;845.09;854.38;838.97;858.64;881.82;922.15;919.56;1012.87;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Radeèe";793.20;816.45;875.31;930.16;885.28;873.10;877.13;887.31;922.92;938.63;956.89;991.93;1072.59;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Radenci";832.08;847.04;873.72;896.86;907.49;897.34;899.79;910.43;923.74;958.99;979.39;1009.86;1044.48;...
